Component,File / Artifact,Claim or Feature,Classification,Evidence / Audit Finding,Target Fix Status
PnL Engine,src/models/pnl.py,Forced flatten execution price,BROKEN,Uses current_mid instead of executable bid/ask; fails to model taker slippage,P0 Blocker (Phase 5 Fix)
Backtester,src/backtester.py,End-to-end execution on live/synthetic data,BROKEN,Crashes on record_fill due to adverse_selection_bps signature mismatch,P0 Blocker (Phase 2 Fix)
Backtester,src/backtester.py,High-fidelity L2 book depth replay,UNIMPLEMENTED,run_simulation only consumes BBO and trades; does not replay L2 deltas,P0 Blocker (Phase 4 Fix)
Backtester,src/backtester.py,Order lifecycle and cancellation risk,BROKEN,Overwrites active order object without modeling cancel latency or in-flight fills,P0 Blocker (Phase 4 Fix)
Backtester,src/backtester.py,Dynamic volatility input,BROKEN,Hardcodes constant volatility=0.30; does not compute realized volatility,P0 Blocker (Phase 6 Fix)
Paper Trader,src/paper_trader.py,Live telemetry loop execution,BROKEN,Calls self.rate_limiter.get_pool_status() which raises AttributeError,P0 Blocker (Phase 2 Fix)
Paper Trader,src/paper_trader.py,Live public feed paper execution,TEST_VERIFIED,Executes simulated passive orders against live mainnet WS without sending orders,PASS
Strategy Base,src/strategies/base.py,Quantization rounding to tick/step,BROKEN,Uses round(x/step, 6) which truncates BTC (1e-8) and ETH (1e-7) steps,P0 Blocker (Phase 6 Fix)
Strategy S0,src/strategies/fixed_spread.py,Symmetric fixed spread quoting control,SOURCE_VERIFIED,Generates symmetric bid/ask around mid; no inventory skew,PASS
Strategy S1,src/strategies/avellaneda_stoikov.py,Dimensional consistency of units,BROKEN,Multiplies annualized sigma^2 by hours and adds ad-hoc 1% price factor,P0 Blocker (Phase 7 Fix)
Strategy S1,src/strategies/avellaneda_stoikov.py,Empirical kappa parameter calibration,HYPOTHESIS,Hardcodes kappa=1.5 without empirical arrival fitting; uncalibrated,Phase 7 Fix
Strategy S2,src/strategies/volatility_clock.py,Volatility-clock spread adaptation,SOURCE_VERIFIED,Scales spread proportional to input volatility; needs dynamic sigma,Phase 6 Fix
Strategy Overlay,src/strategies/adaptive_mm.py,Adaptive microstructure strategy,SOURCE_VERIFIED,Combines inventory skew with microprice deviation; needs exact quantization,Phase 6 Fix
Walk-Forward,src/walk_forward.py,Typing imports and CLI execution,BROKEN,Missing 'from typing import Optional'; scripts/run_walk_forward.py lacks sys.path,P0 Blocker (Phase 2 Fix)
Walk-Forward,src/walk_forward.py,Chronological split protocol,BROKEN,Uses generic 60/40 ratio instead of committed Sep 21-25 Tune / Sep 28-Oct 2 OOS,P0 Blocker (Phase 10 Fix)
Multiple Testing,src/walk_forward.py,Holm-Bonferroni hypothesis adjustment,BROKEN,Helper function exists but is never wired to p-values or formal strategy selection,P0 Blocker (Phase 10 Fix)
Adverse Selection,src/adverse_selection.py,Unclamped forward markouts (100ms-60s),TEST_VERIFIED,test_markout_horizons_random_walk passes; unresolvable horizons dropped,PASS
Replay Parity,scripts/test_replay_parity.py,Full state and equity path parity,BROKEN,Only checks fills_c_count key (which does not exist in telemetry); misses full path,P0 Blocker (Phase 10 Fix)
Report Verifier,scripts/verify_report.py,Table-to-prose consistency and phrase checks,TEST_VERIFIED,Rejects forbidden words, withdrawn claims, and clip violations,PASS
Phase 14 Report,scripts/run_phase_14_backtest.py,Simulated fill generation,BROKEN,Estimates fills = trades_count * 0.02; arbitrary multiplier not simulation,P0 Blocker (Phase 4/11 Fix)
Phase 15 Report,scripts/run_paper_trader.py,Verdict classification logic,BROKEN,Assigns 'VALIDATED' if fills >= 30 and PnL > 0; violates registered gates,P0 Blocker (Phase 10 Fix)
Watchdog,src/watchdog.py,Independent watchdog and dead-man switch,UNIMPLEMENTED,No standalone heartbeat monitor or scheduleCancel recovery process exists,P0 Blocker (Phase 8 Fix)
Venue Config,configs/venue_verified.yaml,Documented venue constraints and endpoints,VENUE_VERIFIED,Verified against /health, /v1/markets, and /v1/feeTiers APIs,PASS
